Company Name,Profile Heading,About Company,Email,Contact,Toll Free Number ,Main Address,Address Pin Code,Address URL,Company Registration Number,Country,State,City
Tulis Hair And Beauty Salon,Tulis Hair And Beauty Salon,,,,,"1625a, Rajdanga Main Road",700078,,,India,West Bengal,Kolkata
Desire Ladies Beauty parlour,Desire Ladies Beauty parlour,,,,,"Netaji Nagar Road, Near Radha Krishna Jewelry, Purbalok, Mukundapur",700099,,,India,West Bengal,Kolkata
S Max Salon,S Max Salon,,,,,"84B/L, Chandra Nath Roy Road, Near Sri Sri Shani Mandir, Topsia",700046,,,India,West Bengal,Kolkata
Trendz Spa,Trendz Spa,,,,,10/3 Hunger Ford Street Kol 17,700017,,,India,West Bengal,Kolkata
Titly's Beauty And Spa Saloon,Titly's Beauty And Spa Saloon,,,,,Beleghata Main Road,700010,,,India,West Bengal,Kolkata
Lona beauty Salon,Lona Beauty Salon,,,,,"1L, Natore Park, 3Rd Road",700039,,,India,West Bengal,Kolkata
Hairology Family Salon,Hairology Family Salon,,,,,"33/1A, Ahiripukar Road, Near Peter Day School",700019,,,India,West Bengal,Kolkata
Imam Salon,Imam Salon,,,,,"Bondel Road, Near Icici Bank, Kata Pukur, Nator Park",700039,,,India,West Bengal,Kolkata
Rimi Thai Spa Parlour,Rimi Thai Spa Parlour,,,,,"1858/1, Rajdanga Main Road, Sector 1, East Kolkata Township, Shantipally, Sector B, East Kolkata Twp",700107,,,India,West Bengal,Kolkata
New Good Luck Salon,New Good Luck Salon,,,,,"Picnic Garden Road, Tiljala",700039,,,India,West Bengal,Kolkata
Professional Saloon,Professional Saloon,,,,,"1, Garcha, Ballygunge",700026,,,India,West Bengal,Kolkata
Sagar Saloon,Sagar Saloon,,,,,"18 No Kayastha Para, Haltu, Main Road",700078,,,India,West Bengal,Kolkata
Biney Xclusive,Biney Xclusive,,,,,"Dhakuria Station Road, Dhakuria",700031,,,India,West Bengal,Kolkata
Caress Spa And saloon,Caress Spa And Saloon,,,,,"12, Kalikapur Main Road, Kalikapur, Haltu",700099,,,India,West Bengal,Kolkata
The Be Bonnie,The Be Bonnie,,,,,87-B Raja S C Mullick Road,700047,,,India,West Bengal,Kolkata
Happy Family Salon And Spa,Happy Family Salon And Spa,,,,,"42, Laxmi Narayan Colony, Chkravartipara, Barasat",700126,,,India,West Bengal,Kolkata
Heaven Beauty,Heaven Beauty,,,,,"35, Nabagram, Panchpota",700152,,,India,West Bengal,Kolkata
Re Define,Re Define,,,,,"C/228, Sh1, Santoshpur",700075,,,India,West Bengal,Kolkata
Sofiyana,Sofiyana,,,,,"1st Lane, Garia Station Road",700084,,,India,West Bengal,Kolkata
Prince Salon,Prince Salon,,,,,"Nabagram Jheel Road, Near Evergreen Jewelers, Nabagram, Panchpota",700152,,,India,West Bengal,Kolkata
Royale Family Salon,Royale Family Salon,,,,,"Block-A 4Th Floor, Jindal Tower, 21/A/3, Darga Road",700017,,,India,West Bengal,Kolkata
Final Touch,Final Touch,,,,,Picnic Garden Road,700039,,,India,West Bengal,Kolkata
Jesmin Spa And Beauty Clinic,Jesmin Spa And Beauty Clinic,,,,,"7/9 Poddar Nagar, p.o. Jodhpur Park, p.s. Jadavpur, kol  Near South City Shopping Mall",700068,,,India,West Bengal,Kolkata
Eelina Spa And Beauty Salon,Eelina Spa And Beauty Salon,,,,,Gayatri Bhawan Raja Subodh Chandra Mullick Road,700047,,,India,West Bengal,Kolkata
Sonis hair And Beauty Salon,Sonis Hair And Beauty Salon,,,,,185/1c Nsc Bose Road,700040,,,India,West Bengal,Kolkata
Look Me Beauty Salon,Look Me Beauty Salon,,,,,14 K K M Road,700075,,,India,West Bengal,Kolkata
Blaze,Blaze,,,,,"E-180, Ramgarh Road, Near Zeeshan, Garia",700032,,,India,West Bengal,Kolkata
Makeup Salon,Makeup Salon,,,,,"185/1Q, Netaji Subhash Chandra Bose Road, Netaji Nagar, Tollygunge, Regent Grove, Bansdroni",700040,,,India,West Bengal,Kolkata
Budding Leaf,Budding Leaf,,,,,1358 Survey Park Opp Apex Hospital,700075,,,India,West Bengal,Kolkata
Green Trends Unisex,Green Trends Unisex,,,,,"68/6, Baghajatin Bazar Road, Baghajatin Colony",700092,,,India,West Bengal,Kolkata
Krishna's Salon,Krishna's Salon,,,,,"A15, A15/1, Poddar Nagar, Jadavpur, Near Katju Nagar High School",700032,,,India,West Bengal,Kolkata
Rosaleen,Rosaleen,,,,,"80e, Regent Estate, Jadavpur (Near Bijaygarh Sikshaniketan Girls School)",700092,,,India,West Bengal,Kolkata
Santosh Salon,Santosh Salon,,,,,"Shree Colony Road, Near Mukul Bose Playground, Regent Estate, Bijoygarh",700047,,,India,West Bengal,Kolkata
Miraculous Lifestyle,Miraculous Lifestyle,,,,,"141/1A, Rash Behari Avenue, Dover Terrace, Ballygunge",700029,,,India,West Bengal,Kolkata
Barbie Beauty parlour,Barbie Beauty Parlour,,,,,"E-30, Baghajatin, Near Sajjyaniketan, K.D. Road, Sarat Kanan Pally, Nainan Para, Baranagar",700086,,,India,West Bengal,Kolkata
Nilima Salon,Nilima Salon,,,,,"Rashbehari Avenue, Rathtala, Ballygunge",700042,,,India,West Bengal,Kolkata
Angel Beauty Parlour,Angel Beauty Parlour,,,,,"4/39, Graham Road, Samajgarh, Bijoygarh",700032,,,India,West Bengal,Kolkata
ANG Ladies Beauty Parlour,ANG Ladies Beauty Parlour,,,,,"93, Laskarpur Road, Purbapara, Nandan Apartment, Near B D Memorial School, Garia",700153,,,India,West Bengal,Kolkata
Rups Family Salon,Rups Family Salon,,,,,"33, Netaji Nagar Road, Subhash Pally, Pallisree, Netaji Nagar",700092,,,India,West Bengal,Kolkata
