Company Name,Profile Heading,About Company,Email,Phone,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Main address country,Main address State,status,trending,Created date,Updated date,Main address city,verified,Paid status,Operating hours,Membership type id,Complaint status,Complaint level,logo,parent Id
AOKIstudio,,,,,,"2-31-3 Houei building 4F, Jingumae,Shibuya-Ku, Tokyo 150-0001, Japan",,https://aokistudio.com/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
No Border Studio,,,,,,"165-0026 Tokyo, Nakano City, Arai, 3 Chome?5?10",165-0026 ,https://www.studio-no-border.com/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
MARZA ANIMATION PLANET,,,,,,"Tennoz Ocean Square., 18F, 2-2-20, Higashi-Shinagawa, Shinagawa-ku,Tokyo, 140-0002 JAPAN",140-0002,https://www.marza.com/en/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
Kyoto Animation,,,,,,"32 Oseto, Kohata, Uji-shi, Kyoto 611-0002, Japan",,https://www.kyotoanimation.co.jp/en/,,Japan,Kyoto,,,,,Kyoto,,,,,,,,
Sola Digital Arts,,,,,,"YS Bld.1F, 1-19-3, Nakacho, Musashino-shi, Tokyo, 180-0006, Japan",180-0006,https://sola-digital.com/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
D'ART Shtajio,,,,,," Japan, ?160-0023 Tokyo, MezonMaeda4 Chome?4?1-602 ??? ???",160-0023 ,https://dartshtajio.com/,,Japan,Tokyo,,,,,Tokyo,,,,,,,,
Onesal Studio,,,,,,"3 Chome-30-2 Kitazawa, Setagaya City, Tokyo 155-0031, Japan",155-0031,https://onesal.com/,, Japan,Tokyo,,,,,Tokyo,,,,,,,,
Toei Company,,,,,,"2-17, 3-chome, Ginza, Chuo-ku, Tokyo, Tokyo 104-8108",104-8108,https://www.toei.co.jp/en/index.html,, Japan,Tokyo,,,,,Tokyo,,,,,,,,
Modis Design Inc.,,,,,,"Kudan-minami Center Bldg. 7F, Tokyo, Tokyo 102-0073",102-0073,https://en.modisdesign.com/,, Japan,Tokyo,,,,,Tokyo,,,,,,,,
