Company Name,Profile Heading,About Company,Email,Contact,Toll free number,Main Address, Address Pin code,Adress URL,Company registration Number
Harvard House High School,Harvard House High School,,,3322877223,,"No. 18, South Tangra Rd, Govinda Khatick Road, Kolkata, West Bengal 700046 
",700046,,
Mahavir Institute of education,Mahavir Institute Of Education,,,3322273092,," 17/1, Canal Street, Sealdah, Kolkata, West Bengal 700014 ",700014,,
Sukantanagar Vidyaniketan,Sukantanagar Vidyaniketan,,,3323350294,,"Salt Lake Bypass Road, Near Apollo Pharmacy, Sector 4, Salt Lake City, Kolkata, West Bengal 700105 ",700105,,
Salt Lake St Xaviers point School,Salt Lake St Xaviers Point School,,,3323359108,,"Sector 3 Block GA Road, Near Bidhannagar RMC Office, Block GA, Bidhan Nagar, Kolkata, West Bengal 700097 ",700097,,
Sishu Mahal Girls High School,Sishu Mahal Girls High School,,,3323203611,,"Matilal Basak Garden Lane, Kolkata, West Bengal 700054 
",700054,,
Imperial Islamic school,Imperial Islamic School,,,9831993565,," 66B, Mother Teresa Sarani, Near Saree Emporium Pvt. Ltd., Mullick Bazar, Kolkata, West Bengal 700016 ",700016,,
Ballygunge Park Day School,Ballygunge Park Day School,,,3322896849,,"P-1, Suhrawardy Avenue, Park Circus, Kolkata, West Bengal 700017 ",700017,,
Heritage KG School,Heritage Kg School,,,3325583687,,"Paikpara Road, Near Jatindra Hospital, Noongola Basti, Paikpara, Kolkata, West Bengal 700037 ",700037,,
Vaishno Devi Academy,Vaishno Devi Academy,,,3325714900,," Krishnapur Road, Near Maa Tara Restaurant, Samarpally, Krishnapur, Kolkata, West Bengal 700102 ",700102,,
Krishmont school,Krishmont School,,,3322870212,,"1, Topsia Road, Beniapukur, Kolkata, West Bengal 700046 ",700046,,
Ambition Academy,Ambition Academy,,,9681081947,,"85 G, Topsia Road, Tiljala, Nr Foot Ball Groud, Kolkata, West Bengal 700039 ",700039,,
St Dominics school,St Dominics School,,,3322840280,,"No. 45, Beniapukur Road, Near Jai Kali Mandir, Kolkata, West Bengal 700014 ",700014,,
Huda Public School,Huda Public School,,,9231171748,,"98, Christopher Road, Bl-B Floor-3, Topsia, Kolkata, West Bengal 700046 
",700046,,
Janakalyan Shiksha Mandir,Janakalyan Shiksha Mandir,,,9830130689,,"Debendra Chandra Dey Road, Near Spring Hyundai Showroom, Mathpukur, Tangra, Kolkata, West Bengal 700046 
",700046,,
Brahmo Balika Shikshalaya,Brahmo Balika Shikshalaya,,,3323502650,,"294, A.P.C. Road, Kolkata, West Bengal 700009 
",700009,,
