Company Name,Profile Heading,About Company,Email,Phone,Toll Free Number,Main Address,Address Pin Code,Address URL,Company Registration Number,Main address country,Main address State,status,trending,Created date,Updated date,Main address city,verified,logo,parent Id
Virgin Mobile,,"Virgin Mobile is a wireless communications brand used by seven independent brand-licensees worldwide. Virgin Mobile branded wireless communications services are available in the United Kingdom, Ireland, Canada, Colombia, Chile, Kuwait, Saudi Arabia, United Arab Emirates, Poland and Mexico. Virgin Mobile branded services used to be offered in Australia, France, Singapore, India, Qatar, South Africa and the United States.",,,,"500 Brook Dr, Reading RG2 6UU, United Kingdom",RG2 6UU,https://www.virginmediao2.co.uk/,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
